Country,State,City,Area
Maroc,Fès-Meknès,Fès,Fès el-Bali (ancienne médina)
Maroc,Fès-Meknès,Fès,Fès el-Jdid (nouvelle médina)
Maroc,Fès-Meknès,Fès,Mellah (quartier juif)
Maroc,Fès-Meknès,Fès,Ville Nouvelle
Maroc,Fès-Meknès,Fès,Agdal
Maroc,Fès-Meknès,Fès,L’Olive
Maroc,Fès-Meknès,Fès,Route de Sefrou
Maroc,Fès-Meknès,Fès,Jardins de la Roseraie
Maroc,Fès-Meknès,Fès,Ittihad
Maroc,Fès-Meknès,Fès,Boujloud
